source,reply_to,date,reactions,text,url
Kinan Rabah,ROOT,2019-05-31,1,Isabella Lykke Nielsen,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344686538735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQClWBb1BrLCanOG&refid=52&__tn__=R
Isabella Lykke Nielsen,Kinan Rabah,2019-05-31,1,Kinan Rabah cute 😱🙈,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344686538735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQClWBb1BrLCanOG&refid=52&__tn__=R
Sophie Céline,ROOT,2019-05-31,,Daria Diana 😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345783393735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCqAZcfYzT7aTxU&refid=52&__tn__=R
Daria Paschke,Sophie Céline,2019-05-31,,😂😂😂😂😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345783393735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCqAZcfYzT7aTxU&refid=52&__tn__=R
Adam Arveson,ROOT,2019-05-31,1,Jaimie Albert,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344807268735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDASIrs76W1wP0p&refid=52&__tn__=R
Jaimie Albert,Adam Arveson,2019-05-31,,Adam Arveson literally me,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344807268735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDASIrs76W1wP0p&refid=52&__tn__=R
Cassandra Palm,ROOT,2019-05-31,1,Sabina Bäckman,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344647058735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQA4LI6NTSYAvZZU&refid=52&__tn__=R
Sabina Bäckman,Cassandra Palm,"31,May,at,22:24",,Cassandra Palm hahaha bullen jaa,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344647058735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQA4LI6NTSYAvZZU&refid=52&__tn__=R
Kevin Kessler,,2019-05-31,1,Christina,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=70&av=100013685075604&eav=Afaa2ptamG4aAVUWtEXUOuSXrf7K_NAEOQj59XRoeNMw8VH8Mp1fkj65w7wj9uLvcxo&refid=52
Talia Acosta,,2019-05-31,1,Heather Marie,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=70&av=100013685075604&eav=Afaa2ptamG4aAVUWtEXUOuSXrf7K_NAEOQj59XRoeNMw8VH8Mp1fkj65w7wj9uLvcxo&refid=52
Pham Cong Minh,,2019-05-31,1,Hải Thu,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=70&av=100013685075604&eav=Afaa2ptamG4aAVUWtEXUOuSXrf7K_NAEOQj59XRoeNMw8VH8Mp1fkj65w7wj9uLvcxo&refid=52
Liz Pryor,,2019-05-31,1,Unsal Dokumaci,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=70&av=100013685075604&eav=Afaa2ptamG4aAVUWtEXUOuSXrf7K_NAEOQj59XRoeNMw8VH8Mp1fkj65w7wj9uLvcxo&refid=52
Brady Crawford,,2019-05-31,1,Sarah Gianna,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=70&av=100013685075604&eav=Afaa2ptamG4aAVUWtEXUOuSXrf7K_NAEOQj59XRoeNMw8VH8Mp1fkj65w7wj9uLvcxo&refid=52
Nathan Hessdorfer,,2019-05-31,1,Shayna Marchuk,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=70&av=100013685075604&eav=Afaa2ptamG4aAVUWtEXUOuSXrf7K_NAEOQj59XRoeNMw8VH8Mp1fkj65w7wj9uLvcxo&refid=52
Sondre Jacobsen,ROOT,2019-05-31,1,Lars Østli,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344642108735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCr3MnkM9o5wDqG&refid=52&__tn__=R
Lars Østli,Sondre Jacobsen,2019-05-31,,Sondre Jacobsen hahahaha dæven,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344642108735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCr3MnkM9o5wDqG&refid=52&__tn__=R
Alex Dudemeister,ROOT,2019-05-31,1,Katarina Sauer,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345695333735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCPxpUv5S0OlXgc&refid=52&__tn__=R
Katarina Sauer,Alex Dudemeister,2019-05-31,,Alex Dudemeister  könnte Ben sein hahaha :D,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345695333735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCPxpUv5S0OlXgc&refid=52&__tn__=R
Ayush Sharma,,2019-05-31,1,Kuntal Masram,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=80&av=100013685075604&eav=AfbfzkqsXCsacGrBkl1Un56bu5JxzuBXJDKo4vBDqfrM9T0L4rNlx1FOkvy3Ti6W3Vc&refid=52
Kaci Allen,,2019-05-31,1,Jennifer Twarynski,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=80&av=100013685075604&eav=AfbfzkqsXCsacGrBkl1Un56bu5JxzuBXJDKo4vBDqfrM9T0L4rNlx1FOkvy3Ti6W3Vc&refid=52
Richard John Edeson,,2019-05-31,1,Amy Kennedy,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=80&av=100013685075604&eav=AfbfzkqsXCsacGrBkl1Un56bu5JxzuBXJDKo4vBDqfrM9T0L4rNlx1FOkvy3Ti6W3Vc&refid=52
Ngọc Anh Nguyễn,,"2,Jun,at,17:08",,Thanh Nam 🙂,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=80&av=100013685075604&eav=AfbfzkqsXCsacGrBkl1Un56bu5JxzuBXJDKo4vBDqfrM9T0L4rNlx1FOkvy3Ti6W3Vc&refid=52
Nathan Davidson,,2019-05-31,1,Brittany Shine,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=80&av=100013685075604&eav=AfbfzkqsXCsacGrBkl1Un56bu5JxzuBXJDKo4vBDqfrM9T0L4rNlx1FOkvy3Ti6W3Vc&refid=52
Riley Barbour,,2019-05-31,1,Marianne de Silva,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=80&av=100013685075604&eav=AfbfzkqsXCsacGrBkl1Un56bu5JxzuBXJDKo4vBDqfrM9T0L4rNlx1FOkvy3Ti6W3Vc&refid=52
Dan Pham,,2019-05-31,1,Jay Kay,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=80&av=100013685075604&eav=AfbfzkqsXCsacGrBkl1Un56bu5JxzuBXJDKo4vBDqfrM9T0L4rNlx1FOkvy3Ti6W3Vc&refid=52
Alaa Zarnaji,,2019-05-31,,Keti Lats 😏,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=80&av=100013685075604&eav=AfbfzkqsXCsacGrBkl1Un56bu5JxzuBXJDKo4vBDqfrM9T0L4rNlx1FOkvy3Ti6W3Vc&refid=52
Haishi Cheng Liang,ROOT,2019-05-31,1,Pam Catlin,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344816608735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBf2EVMZyXIjN33&refid=52&__tn__=R
Pam Catlin,Haishi Cheng Liang,2019-05-31,1,Haishi Cheng Liang that’s me lol,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344816608735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBf2EVMZyXIjN33&refid=52&__tn__=R
Haishi Cheng Liang,Haishi Cheng Liang,2019-05-31,,Pam Catlin and me!,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344816608735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBf2EVMZyXIjN33&refid=52&__tn__=R
Pam Catlin,Haishi Cheng Liang,2019-05-31,,Haishi Cheng Liang only half a day tomorroe,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344816608735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBf2EVMZyXIjN33&refid=52&__tn__=R
Lindsey Juilfs,ROOT,2019-05-31,1,"Erica Pfeil Duncan, Kassidi Blackmon, Sherri Bergmeier Garcia",https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345005718735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD0_k30RL4CsE2o&refid=52&__tn__=R
Erica Pfeil Duncan,Lindsey Juilfs,2019-05-31,,Lindsey Juilfs me this week!!!,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345005718735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD0_k30RL4CsE2o&refid=52&__tn__=R
Sherri Bergmeier Garcia,Lindsey Juilfs,2019-05-31,,I seriously fell asleep at 4 and woke up at 7:30 tonight. And I'm still tired,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345005718735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD0_k30RL4CsE2o&refid=52&__tn__=R
Lindsey Juilfs,Lindsey Juilfs,2019-05-31,,Something about short weeks that make them seem extra long.,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345005718735&count=3&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQD0_k30RL4CsE2o&refid=52&__tn__=R
Rial Majok,,2019-05-31,1,Paige Scott,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=90&av=100013685075604&eav=AfZtD-ma0H5hoqShO0LwbbzLWGRTTGitsi83XJRODaPp5iXBf0B3_YunNSB80O8RzNE&refid=52
Kyla McIsaac,,2019-05-31,1,Kristin Amanda,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=90&av=100013685075604&eav=AfZtD-ma0H5hoqShO0LwbbzLWGRTTGitsi83XJRODaPp5iXBf0B3_YunNSB80O8RzNE&refid=52
Minh Thỏ Hồng,,2019-05-31,1,Lê Hồng Hạnh,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=90&av=100013685075604&eav=AfZtD-ma0H5hoqShO0LwbbzLWGRTTGitsi83XJRODaPp5iXBf0B3_YunNSB80O8RzNE&refid=52
Jordyn Wilson,,2019-05-31,1,Julia Ma,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=90&av=100013685075604&eav=AfZtD-ma0H5hoqShO0LwbbzLWGRTTGitsi83XJRODaPp5iXBf0B3_YunNSB80O8RzNE&refid=52
Marie Galler,,2019-05-31,1,Andreas Braunschweig,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=90&av=100013685075604&eav=AfZtD-ma0H5hoqShO0LwbbzLWGRTTGitsi83XJRODaPp5iXBf0B3_YunNSB80O8RzNE&refid=52
Megan Molly,,2019-05-31,1,Colleen McGuire,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=90&av=100013685075604&eav=AfZtD-ma0H5hoqShO0LwbbzLWGRTTGitsi83XJRODaPp5iXBf0B3_YunNSB80O8RzNE&refid=52
Kelly Quadracci,,2019-05-31,,Exactly,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=90&av=100013685075604&eav=AfZtD-ma0H5hoqShO0LwbbzLWGRTTGitsi83XJRODaPp5iXBf0B3_YunNSB80O8RzNE&refid=52
Frédéric Pilon,,2019-05-31,,Yunnie Lachance,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=90&av=100013685075604&eav=AfZtD-ma0H5hoqShO0LwbbzLWGRTTGitsi83XJRODaPp5iXBf0B3_YunNSB80O8RzNE&refid=52
Maggie McConnell,ROOT,2019-05-31,,Rebecca Willmott😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344746043735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBSvxcpedIriBrd&refid=52&__tn__=R
Rebecca Willmott,Maggie McConnell,2019-05-31,1,Maggie McConnell me right now!!,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344746043735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBSvxcpedIriBrd&refid=52&__tn__=R
Avik Mason,ROOT,2019-05-31,,Izz Xenia H,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344652258735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDEAvIv_HwLbGzJ&refid=52&__tn__=R
Izz Xenia H,Avik Mason,2019-05-31,,Chonky 😍,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344652258735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDEAvIv_HwLbGzJ&refid=52&__tn__=R
Shellby Robertson,ROOT,2019-05-31,,Jess Cairns,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344742708735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQAIJQESThmrbDOE&refid=52&__tn__=R
Jess Cairns,Shellby Robertson,2019-05-31,1,Shellby Robertson what the fuck is a 4 day work week ?,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344742708735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQAIJQESThmrbDOE&refid=52&__tn__=R
Felicity Hopkins,ROOT,2019-05-31,,Jane Snyder Bowman-Trently,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345672398735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDK_ePsp5fksVmv&refid=52&__tn__=R
Jane Snyder Bowman-Trently,Felicity Hopkins,2019-05-31,1,Felicity Hopkins me but after 1 hour of a 6 hour shift 😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345672398735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDK_ePsp5fksVmv&refid=52&__tn__=R
Hill Heath,,2019-05-31,,Alexis Button-Butts,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=100&av=100013685075604&eav=Afb_1g20fqLT0rNZp7FuxsTMcqUF9_9rdJ7BOlh5J54WhLuqnWF54qDOtAzfs6VEVyU&refid=52
Matilde Argento,,2019-05-31,,😂 Ilaria Angiulli,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=100&av=100013685075604&eav=Afb_1g20fqLT0rNZp7FuxsTMcqUF9_9rdJ7BOlh5J54WhLuqnWF54qDOtAzfs6VEVyU&refid=52
Matthew Smith,,2019-05-31,,Olivia Rollason,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=100&av=100013685075604&eav=Afb_1g20fqLT0rNZp7FuxsTMcqUF9_9rdJ7BOlh5J54WhLuqnWF54qDOtAzfs6VEVyU&refid=52
Becky Rugh,,2019-05-31,1,Cody Rudy,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=100&av=100013685075604&eav=Afb_1g20fqLT0rNZp7FuxsTMcqUF9_9rdJ7BOlh5J54WhLuqnWF54qDOtAzfs6VEVyU&refid=52
Walker Lehrer,,2019-05-31,,Reanne Lynette Clark,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=100&av=100013685075604&eav=Afb_1g20fqLT0rNZp7FuxsTMcqUF9_9rdJ7BOlh5J54WhLuqnWF54qDOtAzfs6VEVyU&refid=52
Dana Thornalley,,2019-05-31,,Georgia Mae Johnson,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=100&av=100013685075604&eav=Afb_1g20fqLT0rNZp7FuxsTMcqUF9_9rdJ7BOlh5J54WhLuqnWF54qDOtAzfs6VEVyU&refid=52
Roi Shimshoni,,2019-05-31,,Shani Yosef,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Lauren Nicholson,,2019-05-31,,David Higgins,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Kim Sandberg,,2019-05-31,,Michael Sandberg,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Leni Huang,,2019-05-31,,Suma Skotarczak,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Dwight Harding,,2019-05-31,,Joy,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Billy Alten,,2019-05-31,,Angeleah Alten-Dunkle,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Heledd Wyn Roberts,,2019-05-31,,Carys H Roberts,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Vera Panganiban,,2019-05-31,1,Eig Nayaw,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Carly Tara Abid,,2019-05-31,,Hassan Abid,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Philipp Schmidl,,2019-05-31,,Caro Lisa Schmidl,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=110&av=100013685075604&eav=AfajoeGLf-JDrcvs2K8VvoYyjCz9flW2PNhl6GfVrTGsx1XXHYMHcW-Efvyplp2iJ8U&refid=52
Lauren Pike,ROOT,2019-05-31,1,Steph Cannon,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345516298735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDObcc_rdiGeSCC&refid=52&__tn__=R
Steph Cannon,Lauren Pike,2019-05-31,1,Lauren Pike this is just me on a daily 😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157345516298735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDObcc_rdiGeSCC&refid=52&__tn__=R
Tasevski Nikola,,2019-05-31,,Darko Kiprijanovski,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
Kat Culler,,2019-05-31,,Garrett,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
Carley Huntley,,2019-05-31,,Luke Dracul,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
Ridge Jackson,,2019-05-31,,Rhion Lesley Conroy,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
Eytan Zyskrot,,2019-05-31,,Anat Katz,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
Catherine Giroux,,2019-05-31,,Rébecca Cantin,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
Toba Brent,,2019-05-31,,Sara Aonuma,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
André Nvm,,"31,May,at,23:34",,classic cat,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
Hạnh Hoàng,,"31,May,at,22:50",,Thanh Ngan Le,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=120&av=100013685075604&eav=AfYNs-wB_DC7BQmgHImZKzZYnSXnNTQCRfXGaGcRQsP1znCurfTDrAWD4eYtFutWEM4&refid=52
Ken Asada,ROOT,2019-05-31,1,Akari Ohashi,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157346060863735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCOx2Esji6bMFhh&refid=52&__tn__=R
Akari Ohashi,Ken Asada,"1,Jun,at,00:37",1,FLATTT,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157346060863735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQCOx2Esji6bMFhh&refid=52&__tn__=R
James Killingback,ROOT,2019-05-31,,Bobby Walkden,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344819723735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDmFcaPu747pfO7&refid=52&__tn__=R
Bobby Walkden,James Killingback,2019-05-31,,James Killingback Tell me about it 🤯,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344819723735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDmFcaPu747pfO7&refid=52&__tn__=R
David Batt,ROOT,2019-05-31,,Barbara Pirga,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344879748735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBUTZ1YAdKrgQTs&refid=52&__tn__=R
Barbara Pirga,David Batt,2019-05-31,,so flat!,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344879748735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBUTZ1YAdKrgQTs&refid=52&__tn__=R
Vincent Philippon,ROOT,2019-05-31,,Laurence Filion Bienvenue,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344630558735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBeQ7lERd4d24BF&refid=52&__tn__=R
Laurence Filion Bienvenue,Vincent Philippon,2019-05-31,,Vincent Philippon 😂😂😂,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344630558735&count=1&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQBeQ7lERd4d24BF&refid=52&__tn__=R
Florian Eht,ROOT,2019-05-31,,Benjamin Doll,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344581233735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDHXvGdHwOBkDtv&refid=52&__tn__=R
Benjamin Doll,Florian Eht,2019-05-31,1,Florian Eht 😂😂😂👌🏻,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344581233735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDHXvGdHwOBkDtv&refid=52&__tn__=R
Florian Eht,Florian Eht,2019-05-31,,Benjamin Doll 😂👌🏻,https://mbasic.facebook.com/comment/replies/?ctoken=10157344527433735_10157344581233735&count=2&curr&pc=1&ft_ent_identifier=10157344527433735&gfid=AQDHXvGdHwOBkDtv&refid=52&__tn__=R
Melvin Mast,,2019-05-31,,Karen van Beek,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=130&av=100013685075604&eav=AfbHUlmCGibpRZbD035R7aG3gO8A6kGk7Mzz4jWmBl0yH4DswVuqZfn7yXFE180J9ds&refid=52
Kulcsár Norbert,,2019-05-31,,Andreea,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=130&av=100013685075604&eav=AfbHUlmCGibpRZbD035R7aG3gO8A6kGk7Mzz4jWmBl0yH4DswVuqZfn7yXFE180J9ds&refid=52
Rita Nguyen,,2019-05-31,,Niklas Loitz,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=130&av=100013685075604&eav=AfbHUlmCGibpRZbD035R7aG3gO8A6kGk7Mzz4jWmBl0yH4DswVuqZfn7yXFE180J9ds&refid=52
Philippe Pinard,,"2,Jun,at,14:10",,Ariel Trayci,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=130&av=100013685075604&eav=AfbHUlmCGibpRZbD035R7aG3gO8A6kGk7Mzz4jWmBl0yH4DswVuqZfn7yXFE180J9ds&refid=52
Irina Nicula,,2019-05-31,,Steve Zeeuwe,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=130&av=100013685075604&eav=AfbHUlmCGibpRZbD035R7aG3gO8A6kGk7Mzz4jWmBl0yH4DswVuqZfn7yXFE180J9ds&refid=52
Isobel Varney,,2019-05-31,,Chloe Palmer,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=140&av=100013685075604&eav=AfYsZI_FrrrROCtPV3r1hr1cZ7ZoSX2qR0Vfk81LM0_krHeV1LzvBRTV5HMm1ousv_A&refid=52
Shane Smallacombe,,2019-05-31,,Alice Prokopec,https://mbasic.facebook.com/story.php?story_fbid=10157344527433735&id=7177913734&p=140&av=100013685075604&eav=AfYsZI_FrrrROCtPV3r1hr1cZ7ZoSX2qR0Vfk81LM0_krHeV1LzvBRTV5HMm1ousv_A&refid=52
